Feature Name,Type of missing,Type of imputation method,Run #,Mean Value,Mean Value_original_missing,Mean Value_original_no_missing,Difference Between No Missing,Difference Between Original (with MAR/MNAR)
bedrooms,mar,original,4.5,3.0344329822571097,3.0344329822571097,3.2610754304679226,0.22664244821081275,0.0
bedrooms,mar,synthesizer,4.5,3.056357816301121,3.0344329822571097,3.2610754304679226,0.2047176141668015,0.0740312842299828
bedrooms,mar,synthpop,4.5,3.128356162723437,3.0344329822571097,3.2610754304679226,0.14228159797405984,0.1441670043075017
bedrooms,mnar,original,4.5,3.1103279972296596,3.1103279972296596,3.2610754304679226,0.15074743323826337,0.0
bedrooms,mnar,synthesizer,4.5,3.16741756277143,3.1103279972296596,3.2610754304679226,0.0957129118524617,0.06264371890177696
bedrooms,mnar,synthpop,4.5,3.1047515130143735,3.1103279972296596,3.2610754304679226,0.1716140729042328,0.06321819203325854
bedrooms,original,original,4.5,3.2610754304679226,3.2610754304679226,3.2610754304679226,0.0,0.0
parking,mar,original,4.5,1.037180819787937,1.037180819787937,0.940065936895207,0.09711488289273,0.0
parking,mar,synthesizer,4.5,0.9772504042758106,1.037180819787937,0.940065936895207,0.06962499065409626,0.05993041551212643
parking,mar,synthpop,4.5,1.010070221412102,1.037180819787937,0.940065936895207,0.10346200977629934,0.08945002579211477
parking,mnar,original,4.5,0.5210587745715155,0.5210587745715155,0.940065936895207,0.4190071623236916,0.0
parking,mnar,synthesizer,4.5,0.5478616361852269,0.5210587745715155,0.940065936895207,0.39220430070998014,0.03663359638192897
parking,mnar,synthpop,4.5,0.508387161693576,0.5210587745715155,0.940065936895207,0.4316787752016311,0.03451281399096114
parking,original,original,4.5,0.940065936895207,0.940065936895207,0.940065936895207,0.0,0.0
stories,mar,original,4.5,1.627527765407505,1.627527765407505,1.6274991649651056,0.03517357793950178,0.0
stories,mar,synthesizer,4.5,1.5808886089919374,1.627527765407505,1.6274991649651056,0.10311331948835283,0.08567906117059251
stories,mar,synthpop,4.5,1.7633423639999335,1.627527765407505,1.6274991649651056,0.14135410556801903,0.14415718741466285
stories,mnar,original,4.5,1.730961714789802,1.730961714789802,1.6274991649651056,0.13231616857001574,0.0
stories,mnar,synthesizer,4.5,1.8692936947052854,1.730961714789802,1.6274991649651056,0.24217537401806338,0.1604852299897918
stories,mnar,synthpop,4.5,1.6771752930613897,1.730961714789802,1.6274991649651056,0.1988214831015246,0.21575556784599215
stories,original,original,4.5,1.6274991649651056,1.6274991649651056,1.6274991649651056,0.0,0.0
